Fevals:          Best:       Current:    Mean range:   Temperature:
      1    1.40297e+11    1.40297e+11              1             50
   3000         104479         104479       0.147259             50
   6000        1439.65        1793.73       0.020486             50
   9000        1106.36        1229.99     0.00646483             50
  12000        1062.82         1347.4     0.00610407             50
  15000        1041.38        1405.08     0.00595639             50
  18000        987.922        1829.45     0.00597513             50
  21000        972.022        1274.48     0.00621755             50
  24000        972.022        1161.14     0.00584428             50
  27000        972.022        1609.51     0.00608545             50
  30000        972.022        1551.37     0.00609237             50
  33000        847.113        1187.83      0.0057631        32.4348
  36000        847.113        1224.32     0.00526216        32.4348
  39000        847.113        1063.18     0.00541944        32.4348
  42000        825.509        1203.78     0.00539724        32.4348
  45000         784.49        1237.14      0.0053117        32.4348
  48000         784.49        1478.17     0.00494052        32.4348
  51000         784.49        1002.31     0.00533099        32.4348
  54000         784.49        1134.55     0.00530153        32.4348
  57000         784.49         986.76     0.00526608        32.4348
  60000         784.49        1215.67     0.00536942        32.4348
  63000         784.49        1142.74     0.00539622        21.0403
  66000        717.086        883.121     0.00450291        21.0403
  69000        717.086        891.267     0.00436074        21.0403
  72000        717.086        1165.78     0.00443234        21.0403
  75000        704.637        752.336     0.00424777        21.0403
  78000        654.337        1011.51     0.00448387        21.0403
  81000        654.337        1047.37     0.00444171        21.0403
  84000        654.337        866.115     0.00447818        21.0403
  87000        654.337        1003.66     0.00426914        21.0403
  90000        654.337        902.905     0.00431044        21.0403
  93000        654.337        865.601     0.00432155        21.0403
  96000        606.393        825.023     0.00385821        13.6488
  99000        606.393         855.03     0.00371631        13.6488
 102000        606.393        717.232      0.0037451        13.6488
 105000        606.393        655.733      0.0038908        13.6488
 108000        606.393        828.572     0.00375891        13.6488
 111000        600.238        745.547     0.00406636        13.6488
 114000        600.238        803.254     0.00356426        13.6488
 117000        600.238        774.353     0.00347591        13.6488
 120000        600.238        822.129     0.00386958        13.6488
 123000        600.238        745.923     0.00370811        13.6488
 126000        600.238        626.688     0.00378291         8.8539
 129000        565.322        605.769     0.00305152         8.8539
 132000        565.322        700.024     0.00308641         8.8539
 135000        553.007         614.72     0.00304115         8.8539
 138000        551.009        641.647     0.00296593         8.8539
 141000        551.009         606.73     0.00311518         8.8539
 144000        551.009        630.635     0.00298991         8.8539
 147000        551.009        652.028     0.00315871         8.8539

Fevals:          Best:       Current:    Mean range:   Temperature:
 150000        543.306        613.864     0.00308624         8.8539
 153000        543.306        662.614      0.0032261         8.8539
 156000        543.306        652.644     0.00312167         8.8539
 159000        512.797        563.369     0.00268811        5.74349
 162000        512.797        562.076     0.00251097        5.74349
 165000        511.995        606.071     0.00265339        5.74349
 168000        511.995        597.619     0.00265236        5.74349
 171000        510.176        525.653     0.00263166        5.74349
 174000        505.159        609.152     0.00238428        5.74349
 177000        505.159        566.413      0.0024365        5.74349
 180000        505.159        600.666     0.00254779        5.74349
 183000        505.159        550.364      0.0025948        5.74349
 186000        505.159        620.024     0.00257984        5.74349
 189000        481.334        551.713     0.00222424        3.72578
 192000        481.334        506.614     0.00201974        3.72578
 195000        478.778        548.575     0.00198623        3.72578
 198000        478.778        539.795      0.0020843        3.72578
 201000        478.778        558.273     0.00202068        3.72578
 204000        478.778        508.926     0.00203997        3.72578
 207000        478.778        522.764     0.00201041        3.72578
 210000        478.778        518.059     0.00205757        3.72578
 213000        478.778         520.89     0.00196265        3.72578
 216000        478.778         525.54     0.00206321        3.72578
 219000        478.778        501.702     0.00205126         2.4169
 222000        464.115        471.397     0.00177832         2.4169
 225000        464.115        505.879     0.00164557         2.4169
 228000        464.115        508.308     0.00165296         2.4169
