Gen:        Fevals:          Best:   Improvement:     Mutations:
      2              2        13133.2        38.3832              1
      4              4        13031.1         102.17              4
     11             11        13006.2        24.8813              1
     12             12        12981.4        24.7673              2
     14             14        12974.8        6.63063              1
     16             16        12967.9        6.89583              1
     20             20        12967.3       0.593006              1
     23             23        12957.7        9.62874              3
     24             24        12939.2        18.5013              2
     25             25        12908.9          30.27              1
     27             27        12886.2        22.7157              1
     28             28        12878.2        8.01628              1
     29             29        12821.9        56.2831              2
     30             30        12768.3        53.5797              1
     32             32        12763.8        4.53192              2
     33             33        12758.9        4.86326              1
     36             36        12741.2        17.6828              2
     40             40        12701.8        39.4336              2
     41             41        12685.4        16.3397              2
     42             42        12635.9        49.5088              3
     47             47        12625.1        10.8227              1
     48             48        12620.8        4.34369              2
     52             52        12581.1        39.7099              2
     54             54        12497.5        83.5666              5
     55             55        12482.7        14.8195              2
     57             57        12479.4        3.25348              1
     58             58        12469.8         9.5797              1
     61             61        12453.8        16.0831              2
     63             63        12447.9        5.89238              3
     65             65        12443.1        4.79158              1
     66             66          12431        12.0896              1
     67             67          12411        20.0181              2
     68             68          12406        4.97529              1
     69             69        12405.8       0.167384              1
     71             71        12402.5        3.31003              3
     75             75          12370        32.4723              1
     76             76        12363.4        6.66772              2
     77             77        12305.8        57.5378              1
     79             79        12288.8          17.03              1
     81             81        12241.9        46.9142              2
     83             83          12216        25.8879              1
     86             86        12194.2        21.8373              2
     87             87        12194.1      0.0533121              1
     89             89        12136.8        57.3061              1
     90             90        12106.7        30.0757              1
     95             95        12093.8        12.9225              3
     96             96        12092.7        1.14476              1
     97             97          12060        32.6496              3
    104            104        12019.8        40.2086              3
    106            106        11958.7        61.1456              1

   Gen:        Fevals:          Best:   Improvement:     Mutations:
    111            111        11926.4        32.2797              2
    116            116        11857.9        68.4932              2
    118            118        11840.9        16.9857              2
    120            120          11837        3.86794              1
    121            121        11823.9        13.1059              1
    122            122        11776.3        47.5832              2
    124            124        11657.2        119.106              2
    127            127        11637.3        19.9768              1
    128            128        11619.6        17.6623              1
    129            129        11533.4        86.1529              2
    130            130        11532.2        1.25246              1
    131            131        11519.9        12.2422              1
    133            133        11514.9        5.05505              2
    136            136        11448.9        65.9609              2
    137            137        11423.1         25.832              1
    139            139        11379.8        43.3137              1
    146            146        11335.4        44.3827              1
    147            147        11294.7        40.6642              2
    149            149        11244.7        49.9927              2
    153            153        11227.5         17.257              1
    154            154        11215.3        12.2199              2
    156            156          11166        49.2386              1
    160            160          11144        22.0463              1
    162            162        11134.5        9.44052              2
    165            165        11116.4         18.171              2
    170            170        11101.4        14.9982              1
    184            184        11095.4        5.92644              1
    188            188        11078.1        17.2999              1
    190            190        11055.9        22.2852              1
    192            192        11054.7        1.13782              1
    195            195        11049.1        5.58196              1
    197            197        11023.1        26.0757              1
    200            200        10998.3        24.7691              1
    201            201        10939.4        58.9044              1
    205            205        10932.9        6.46811              2
    208            208        10865.3        67.6326              1
    209            209        10757.7        107.578              3
    211            211        10693.1        64.6377              2
    212            212        10602.8          90.26              2
    213            213        10575.5        27.3653              3
    214            214        10571.5        3.97447              1
    215            215          10536        35.4391              1
    216            216        10532.8        3.27659              1
    218            218        10527.4        5.33691              1
    219            219        10527.4      0.0571437              2
    221            221        10523.5        3.88891              2
    223            223        10492.9        30.6087              1
    228            228        10464.8         28.068              1
    229            229          10458        6.82299              2
    230            230        10453.7        4.24143              1

   Gen:        Fevals:          Best:   Improvement:     Mutations:
    231            231        10448.1        5.59409              1
    239            239        10447.5       0.598306              1
    243            243        10406.3          41.29              1
    245            245        10394.2        12.0308              1
    246            246        10385.4        8.78674              1
    249            249        10356.4        28.9878              1
    253            253        10299.2        57.2348              2
    257            257        10291.3        7.91094              1
    261            261        10200.7        90.5877              3
    265            265        10200.1       0.624438              1
    266            266        10163.6        36.4977              2
    270            270        10156.5        7.10307              1
    273            273        10142.2        14.3149              1
    274            274        10128.8        13.3683              1
    276            276        10112.9        15.8954              1
    280            280        10111.1        1.86166              1
    281            281        10102.6        8.41634              1
    282            282        10092.6        10.0641              1
    285            285        10051.8         40.812              1
    286            286        10029.2        22.5658              2
    289            289        9975.91        53.2841              1
    290            290        9943.49        32.4173              1
    292            292        9938.82         4.6678              1
    295            295        9934.88        3.93944              1
    297            297        9822.83        112.057              2
    300            300        9809.43        13.4006              1
    301            301        9791.64        17.7887              2
    305            305        9746.95        44.6926              3
    309            309        9662.79        84.1514              2
    311            311        9612.86        49.9384              1
    313            313        9610.81         2.0507              1
    317            317        9569.86        40.9423              1
    318            318        9508.86        61.0043              1
    321            321        9473.38        35.4824              2
    323            323        9450.96        22.4183              1
    333            333        9428.14        22.8223              5
    334            334        9410.07        18.0639              2
    347            347        9397.76        12.3121              1
    352            352        9337.58         60.181              2
    354            354        9336.21        1.36449              1
    355            355        9334.63        1.58051              1
    358            358        9323.07        11.5652              1
    360            360        9308.77        14.3003              1
    361            361        9308.35        0.41582              2
    380            380        9291.33        17.0191              2
    386            386         9288.6        2.73237              1
    387            387        9224.53        64.0752              2
    390            390        9223.01        1.51826              1
    392            392        9222.81       0.194559              2
    394            394        9201.51        21.3003              2

   Gen:        Fevals:          Best:   Improvement:     Mutations:
    395            395        9199.72        1.78903              1
    396            396        9188.36        11.3609              1
    400            400        9175.86        12.4984              1
    401            401        9107.82        68.0468              1
    402            402        9106.73        1.08923              1
    403            403        9092.45        14.2738              2
    408            408        9068.06        24.3982              1
    411            411        9052.68        15.3751              1
    415            415        9031.69        20.9875              1
    416            416         9020.7        10.9926              1
    417            417        9001.92        18.7774              1
    418            418        8893.81        108.111              3
    420            420        8874.04        19.7704              1
    422            422        8872.06        1.98257              1
    425            425        8865.53         6.5328              1
    430            430        8859.77        5.75826              1
    433            433        8853.28        6.48768              1
    434            434        8847.57        5.71224              2
    436            436        8819.48         28.089              1
    440            440        8781.34        38.1435              2
    443            443        8781.18       0.154173              1
    446            446        8772.84        8.34612              1
    447            447        8765.22        7.61946              1
    448            448        8753.72        11.4944              1
    449            449        8751.89        1.83478              1
    450            450        8744.51        7.37582              1
    451            451        8732.51         11.998              3
    452            452        8675.25        57.2667              2
    453            453        8671.95        3.29411              1
    457            457         8666.5        5.45259              2
    459            459        8661.05        5.44835              2
    461            461        8660.27        0.78614              1
    462            462         8648.8        11.4616              2
    464            464        8646.28        2.52429              1
    465            465        8644.68        1.59995              2
    469            469        8615.42        29.2613              1
    475            475        8607.27        8.14947              1
    477            477        8606.57       0.696255              1
    480            480        8589.94        16.6279              2
    481            481        8555.45        34.4936              2
    482            482        8539.64        15.8098              1
    483            483        8534.38        5.25606              2
    484            484        8521.42        12.9609              1
    485            485        8519.76         1.6653              1
    486            486        8509.66        10.1026              2
    487            487        8473.38        36.2803              1
    489            489        8422.13        51.2446              3
    490            490        8385.96        36.1693              2
    498            498        8385.84       0.120745              1
    499            499        8360.96         24.879              1

   Gen:        Fevals:          Best:   Improvement:     Mutations:
    500            500        8339.52        21.4413              1
    502            502        8329.35        10.1703              2
    504            504        8323.79        5.56161              1
    505            505        8319.61        4.18242              3
    509            509        8308.74        10.8622              2
    510            510        8289.84        18.9036              2
    511            511        8267.11        22.7343              1
    513            513        8261.19        5.91271              2
    515            515         8246.2        14.9954              3
    516            516        8240.08        6.11997              1
    517            517        8141.11        98.9721              1
    520            520        8133.51        7.59505              1
    523            523        8122.73        10.7816              1
    526            526        8113.75        8.98392              2
    527            527        8088.03        25.7198              4
    529            529        8068.06        19.9683              1
    540            540        8049.73        18.3248              1
    549            549        7950.12        99.6142              2
    551            551        7934.57        15.5445              1
    553            553        7932.53        2.04872              2
    555            555        7929.18        3.35027              1
    556            556         7908.3        20.8722              1
    560            560         7854.3        54.0004              1
    566            566        7841.62        12.6849              1
    567            567        7821.23        20.3843              3
    571            571        7809.41        11.8253              1
    572            572        7793.11        16.2943              2
    573            573        7793.02      0.0930888              1
    574            574        7789.83        3.19218              1
    575            575        7774.77         15.055              1
    578            578        7754.87        19.9038              1
    580            580        7740.19        14.6804              1
    581            581        7739.56       0.627614              1
    585            585        7727.99        11.5675              1
    586            586        7719.27        8.72105              1
    594            594        7712.75         6.5278              1
    609            609        7694.37        18.3772              1
    617            617        7681.85        12.5203              1
    623            623        7650.59        31.2574              3
    625            625        7648.16        2.43411              2
    628            628        7632.44        15.7179              1
    634            634        7629.39        3.05126              2
    637            637        7619.76        9.63103              2
    641            641        7563.15        56.6104              2
    642            642        7561.42        1.72845              1
    646            646        7561.31        0.10595              1
    649            649        7541.17        20.1387              1
    650            650        7537.91        3.26033              1
    652            652        7526.96        10.9482              1
    655            655        7448.56         78.409              2

   Gen:        Fevals:          Best:   Improvement:     Mutations:
    656            656         7442.5        6.05172              1
    661            661        7421.31        21.1961              1
    662            662         7410.3        11.0064              1
    673            673        7395.27        15.0327              1
    676            676        7387.89        7.38096              5
    681            681        7372.81        15.0738              1
    687            687         7361.3        11.5113              2
    690            690        7344.64        16.6586              1
    692            692        7330.83        13.8184              2
    693            693        7325.55        5.27996              1
    694            694        7310.94        14.6092              1
    696            696        7309.03        1.90805              1
    697            697        7297.26        11.7661              1
    698            698        7292.28        4.98024              2
    705            705        7291.63       0.649826              2
    708            708        7283.64         7.9892              2
    714            714        7270.78        12.8622              1
    716            716        7262.45        8.33533              1
    723            723        7255.58        6.86384              4
    733            733        7245.98        9.60412              1
    734            734         7211.3        34.6818              2
    737            737        7197.49        13.8037              1
    739            739         7181.8        15.6964              1
    741            741         7140.6        41.1967              1
    745            745        7130.59        10.0112              2
    746            746        7058.79           71.8              1
    761            761        7053.12        5.66864              1
    766            766         7038.6        14.5147              1
    774            774        7012.38        26.2244              1
    780            780        6994.78        17.6035              1
    781            781         6993.3        1.47219              1
    789            789        6980.12        13.1843              1
    794            794        6975.34        4.77613              2
    800            800        6974.12        1.22131              1
    802            802        6970.93        3.19484              1
    804            804        6967.93        2.99384              1
    806            806        6907.82        60.1171              2
    809            809        6875.54        32.2723              2
    814            814        6869.95        5.59188              1
    817            817        6865.98        3.97619              1
    820            820        6824.09         41.889              1
    822            822        6730.92        93.1683              2
    824            824        6705.06        25.8628              1
    830            830        6703.52        1.53157              1
    833            833        6701.12        2.39979              1
    834            834        6689.64        11.4832              1
    837            837         6680.8        8.84426              1
    838            838        6678.47        2.32255              1
    844            844        6677.34        1.13165              2
    845            845        6657.67        19.6738              3

   Gen:        Fevals:          Best:   Improvement:     Mutations:
    850            850         6652.6         5.0702              1
    852            852        6643.22        9.38199              1
    855            855        6608.03        35.1863              4
    864            864        6566.83        41.1983              1
    866            866        6556.06        10.7678              1
    870            870        6553.51        2.55122              1
    873            873        6543.75        9.76089              2
    880            880        6530.61         13.146              1
    884            884         6511.8        18.8082              2
    887            887        6493.31        18.4836              1
    891            891        6476.86        16.4582              1
    892            892        6473.73        3.12511              1
    900            900        6462.97        10.7659              2
    910            910        6461.96        1.00254              1
    916            916        6461.78       0.187786              1
    917            917        6459.34        2.43861              1
    925            925        6454.46        4.87204              1
    932            932        6446.87        7.59701              1
    938            938        6426.91        19.9551              1
    945            945         6407.7        19.2113              2
    949            949        6393.74        13.9595              1
    951            951        6383.75        9.99631              1
    953            953        6383.74     0.00663021              1
    954            954        6369.89        13.8475              2
    962            962        6352.68        17.2096              2
    977            977        6350.99        1.68739              1
    980            980        6330.98         20.015              1
    982            982        6330.73       0.253022              3
    983            983        6322.74        7.98645              2
    986            986        6301.48        21.2558              2
    988            988        6248.82        52.6661              1
    989            989        6245.97        2.84537              1
    990            990        6245.79       0.179853              1
    995            995        6226.33        19.4612              1
    996            996        6223.09        3.24272              1
   1016           1016        6215.42        7.66599              1
   1018           1018        6207.44        7.98185              3
   1019           1019        6190.61        16.8319              1
   1022           1022        6186.47         4.1421              1
   1036           1036        6178.06        8.40248              3
   1041           1041        6166.23        11.8321              2
   1044           1044        6156.62        9.60901              1
   1048           1048        6152.49        4.13467              4
   1051           1051        6146.85         5.6433              3
   1053           1053        6144.43        2.41385              1
   1059           1059        6081.91        62.5262              3
   1060           1060        6064.76        17.1466              1
   1063           1063        6057.76        7.00353              2
   1064           1064        6043.28        14.4727              1
   1069           1069        6035.78        7.49995              2

   Gen:        Fevals:          Best:   Improvement:     Mutations:
   1071           1071        6026.08         9.7015              2
   1083           1083        6024.15        1.92755              2
   1089           1089        6016.87         7.2871              1
   1091           1091        6004.49         12.375              1
   1106           1106        6000.99        3.49886              1
   1107           1107        5987.22         13.768              1
   1111           1111         5978.7        8.52511              1
   1114           1114        5978.47       0.230502              2
   1115           1115        5978.29       0.175018              1
   1117           1117        5967.52        10.7711              1
   1119           1119         5967.3       0.222351              1
   1133           1133        5958.37        8.93161              1
   1134           1134        5946.56        11.8069              1
   1139           1139        5944.54         2.0206              2
   1150           1150        5934.51        10.0289              4
   1151           1151         5910.1        24.4078              1
   1152           1152        5892.82        17.2806              1
   1154           1154        5890.88         1.9488              1
   1157           1157        5885.75        5.12872              2
   1160           1160         5879.7        6.04431              1
   1174           1174        5855.35        24.3487              3
   1181           1181        5855.19       0.162549              1
   1186           1186        5849.04        6.14578              2
   1190           1190        5848.74       0.304355              1
