Gen:        Fevals:          Best:   Improvement:     Mutations:
      4              4        27441.4        2.05616              6
      5              5        27409.2         32.164              3
      9              9        27334.7        74.5326              2
     10             10        27326.4        8.26638              1
     13             13        27251.6        74.8416              1
     14             14        27046.1        205.493              3
     15             15        27037.1        9.00463              1
     17             17          26988        49.1279              1
     19             19        26922.8        65.1541              1
     21             21          26906         16.811              3
     22             22        26806.9        99.0782              1
     25             25        26765.3        41.5813              2
     28             28        26578.4        186.954              2
     30             30        26447.8        130.602              2
     34             34        26227.4        220.378              2
     37             37        26075.6        151.856              2
     41             41        26001.2        74.3106              1
     42             42        25991.9        9.32313              2
     44             44          25987        4.89085              1
     45             45        25972.3        14.6971              1
     46             46        25951.4        20.9054              1
     47             47        25855.9        95.5464              1
     51             51        25810.8        45.0642              1
     52             52        25805.5        5.33128              1
     53             53        25745.8        59.7331              1
     57             57        25729.5         16.265              1
     58             58        25446.8        282.641              3
     60             60        25311.4        135.441              3
     62             62        25277.8        33.5698              1
     63             63        25250.4        27.4528              1
     64             64        25234.4        15.9448              1
     67             67          25101        133.449              1
     68             68        25038.1         62.878              2
     69             69        25026.7        11.4138              2
     76             76        24917.7        108.978              1
     77             77        24809.6          108.1              1
     80             80        24797.3        12.2804              1
     84             84        24783.5        13.8319              2
     87             87        24766.1        17.4146              2
     90             90        24759.5        6.55006              1
     92             92        24624.9        134.615              1
     95             95        24602.3        22.5935              1
     96             96        24486.4        115.936              3
     98             98          24471        15.3809              3
    100            100          24442        28.9957              1
    101            101        24399.8        42.2704              2
    103            103        24382.6        17.1633              1
    108            108        24379.2        3.36155              2
    109            109        24205.7        173.566              1
    110            110        24161.2        44.5088              1

   Gen:        Fevals:          Best:   Improvement:     Mutations:
    113            113        24094.9        66.2093              1
    114            114        23970.1        124.867              2
    117            117        23879.5        90.5456              1
    118            118        23641.8        237.722              1
    120            120        23634.7        7.11663              1
    124            124        23623.2         11.462              2
    127            127        23614.4        8.82746              1
    128            128        23399.2        215.239              1
    129            129        23368.8        30.3661              1
    131            131          23289        79.8476              1
    132            132        23182.2        106.723              1
    133            133        23104.7         77.539              1
    134            134        22961.9        142.838              2
    141            141        22961.6       0.210218              1
    143            143        22920.7        40.9198              1
    144            144        22807.2        113.513              2
    148            148        22792.1        15.0936              1
    150            150        22764.2          27.96              1
    151            151        22763.2       0.998689              2
    152            152        22691.3         71.808              3
    154            154        22688.6        2.76349              1
    155            155        22490.3        198.306              2
    158            158        22473.3        17.0268              2
    160            160        22457.9        15.3211              1
    162            162        22302.7        155.225              2
    163            163        22285.6        17.0795              2
    164            164        22175.8        109.806              2
    165            165        22136.9        38.9499              1
    168            168        22117.3        19.5267              1
    169            169        22074.6        42.7808              2
    170            170        21982.1        92.4917              4
    172            172        21959.9        22.1788              2
    178            178        21905.4        54.5204              1
    180            180        21859.3         46.034              1
    182            182        21819.7        39.6304              2
    183            183        21740.8        78.8921              2
    185            185          21674         66.834              1
    186            186        21664.8        9.18774              1
    187            187          21593        71.8166              3
    191            191        21505.2        87.7343              2
    192            192        21478.1        27.1413              1
    196            196        21394.4        83.7437              2
    197            197        21323.2        71.2087              1
    202            202          21126        197.132              2
    208            208          21054        72.0599              1
    209            209        20997.8        56.1254              1
    210            210        20931.5        66.3113              2
    211            211        20823.8        107.714              2
    213            213        20788.9        34.9306              2
    214            214        20761.6        27.3027              1

   Gen:        Fevals:          Best:   Improvement:     Mutations:
    218            218        20745.3        16.2968              1
    219            219        20611.6        133.709              3
    223            223        20596.5        15.1162              1
    226            226        20590.6        5.86347              1
    227            227        20572.4        18.1419              3
    228            228        20470.8        101.684              1
    229            229        20463.3        7.42723              1
    231            231        20377.1        86.2398              1
    234            234        20363.9        13.2422              2
    236            236        20218.5        145.383              1
    238            238        20036.9        181.537              2
