Gen:        Fevals:         gbest:     Mean Vel.:    Mean lbest:    Avg. Dist.:
      1             50       -118.516       0.232545       -118.456        8.65162
    501          25050        -119.82      0.0903594       -119.708        4.12498
   1001          50050       -122.502      0.0197103       -122.255        2.57078
   1501          75050       -124.879      0.0053524        -124.52        1.84553
   2001         100050       -126.945      0.0329432       -126.435        1.43298
   2501         125050       -128.426     0.00188972       -128.098        1.08768
   3001         150050       -129.509      0.0163719       -129.187       0.966849
   3501         175050       -130.609      0.0111024       -130.254       0.758757
   4001         200050       -131.673     0.00349563         -131.4       0.602992
   4501         225050       -132.636    0.000637952       -132.277       0.449968
   5001         250050       -133.224    0.000527066       -132.969       0.372447
   5501         275050       -133.661    7.82409e-05       -133.474       0.306918
   6001         300050       -133.979    0.000181253       -133.756       0.296989
   6501         325050        -134.19    0.000116537       -133.943       0.281945
   7001         350050       -134.404    9.68254e-05       -134.165       0.286439
   7501         375050       -134.593    7.92446e-06       -134.374        0.25202
   8001         400050       -134.778    5.51543e-05       -134.562       0.244072
   8501         425050       -134.968    8.37862e-05       -134.728       0.245411
   9001         450050       -135.046    3.06048e-05        -134.84        0.23465
   9501         475050       -135.169    0.000205337       -135.034       0.184237
  10001         500050       -135.247    0.000131515       -135.092       0.189323
  10501         525050       -135.369     1.0324e-05       -135.172       0.203109
  11001         550050       -135.487    1.44745e-05       -135.279       0.191719
  11501         575050       -135.577     1.6198e-05       -135.346       0.194887
  12001         600050       -135.629    2.91861e-05       -135.399       0.176482
  12501         625050       -135.696    5.81301e-05       -135.445       0.182305
  13001         650050       -135.815    1.52478e-05       -135.525         0.1807
  13501         675050       -135.879     0.00021581        -135.58       0.188747
  14001         700050        -135.99     7.9639e-05       -135.636       0.198939
  14501         725050        -136.04    6.53135e-05       -135.696       0.181703
  15001         750050       -136.049    4.54956e-05       -135.704       0.185669
  15501         775050       -136.054    8.21482e-06        -135.76       0.169098
  16001         800050       -136.144    8.87591e-06       -135.877       0.151307
  16501         825050       -136.173    3.03798e-05       -135.901        0.15458
  17001         850050       -136.392    0.000404507       -136.057       0.181835
  17501         875050       -136.562    0.000300264       -136.235       0.158619
  18001         900050       -136.636    2.93246e-05       -136.432        0.11685
  18501         925050       -136.651    1.11894e-05       -136.511      0.0883215
  19001         950050       -136.705    0.000127546       -136.599       0.060399
  19501         975050       -136.712    2.56499e-05       -136.708      0.0117002
  20001        1000050       -136.716    4.42472e-05       -136.715     0.00352581
  20501        1025050       -136.717    9.70621e-06       -136.717     0.00258881
  21001        1050050       -136.719    5.08786e-06       -136.719     0.00214338
  21501        1075050        -136.72    1.26496e-05        -136.72     0.00178133
  22001        1100050       -136.735    8.46894e-06       -136.735      0.0016153
  22501        1125050       -136.736    5.63412e-07       -136.736    0.000901903
  23001        1150050       -136.736     1.7676e-06       -136.736    0.000684489
  23501        1175050       -136.736    8.64091e-06       -136.736    0.000660544
  24001        1200050       -136.736    8.94448e-06       -136.736    0.000455956
  24501        1225050       -136.736    6.60555e-06       -136.736    0.000367522

   Gen:        Fevals:         gbest:     Mean Vel.:    Mean lbest:    Avg. Dist.:
  25001        1250050       -136.736     6.2537e-06       -136.736    0.000258137
  25501        1275050       -136.736    3.16856e-06       -136.736     0.00021104
  26001        1300050       -136.736    2.49872e-06       -136.736    0.000162987
  26501        1325050       -136.736    7.26733e-07       -136.736    0.000112914
  27001        1350050       -136.736    2.23341e-07       -136.736    8.37004e-05
  27501        1375050       -136.736     2.3826e-07       -136.736    6.57452e-05
  28001        1400050       -136.736    4.92159e-08       -136.736     5.4538e-05
  28501        1425050       -136.736    6.63527e-07       -136.736    4.06138e-05
  29001        1450050       -136.736    4.40882e-07       -136.736    3.21856e-05
