Gen:        Fevals:          Best:   Improvement:     Mutations:
      1              1       -118.413    7.19002e-05              4
      2              2       -118.415     0.00242364              1
      7              7       -118.416     0.00109476              1
      8              8       -118.419     0.00284831              1
     11             11        -118.42     0.00115227              2
     13             13       -118.422     0.00154001              2
     20             20       -118.429     0.00683398              2
     27             27       -118.431     0.00191482              3
     29             29       -118.436     0.00528584              2
     30             30       -118.439     0.00281411              1
     34             34       -118.439    0.000426334              2
     40             40       -118.443     0.00381002              1
     41             41       -118.445     0.00177363              2
     45             45       -118.445    0.000647487              1
     51             51       -118.446    0.000588288              1
     54             54       -118.448     0.00232122              1
     55             55       -118.449     0.00107667              2
     57             57       -118.452     0.00213045              1
     60             60       -118.455     0.00341694              2
     63             63       -118.455    0.000299635              1
     66             66       -118.456     0.00121562              2
     70             70       -118.457    0.000203301              1
     71             71        -118.46     0.00292666              2
     77             77       -118.465     0.00513695              1
     78             78       -118.467     0.00263239              1
     79             79       -118.472     0.00437086              1
     80             80       -118.474     0.00178567              1
     83             83       -118.478     0.00494543              3
     87             87       -118.479    0.000283635              1
     89             89       -118.481     0.00210557              1
     90             90       -118.482      0.0013219              1
     92             92       -118.482    0.000101002              1
     95             95       -118.485     0.00281062              2
     96             96       -118.485    0.000138368              1
     98             98       -118.486    0.000846383              1
    103            103       -118.489     0.00267595              2
    104            104       -118.492     0.00364485              3
    107            107       -118.493    0.000747195              2
    108            108       -118.497     0.00403455              1
    109            109         -118.5      0.0032323              1
    111            111       -118.503     0.00231013              1
    113            113       -118.507     0.00392358              2
    117            117       -118.511       0.003997              1
    120            120       -118.512    0.000965439              1
    121            121       -118.516     0.00396991              1
    122            122       -118.516    0.000864729              1
    125            125       -118.518     0.00111983              1
    127            127       -118.521     0.00325589              1
    128            128       -118.521    5.63873e-05              2
    129            129       -118.521    0.000353229              1

   Gen:        Fevals:          Best:   Improvement:     Mutations:
    131            131       -118.527     0.00597363              2
    135            135       -118.529     0.00187683              2
    137            137       -118.531     0.00208743              1
    138            138       -118.534     0.00326314              1
    140            140       -118.535    0.000474294              1
    141            141       -118.535    0.000520271              1
    143            143       -118.536    0.000934039              1
    145            145       -118.537    0.000819894              1
    146            146        -118.54     0.00259565              1
    148            148       -118.544     0.00443102              1
    149            149       -118.549     0.00504974              1
    150            150       -118.551     0.00174556              1
    152            152       -118.552     0.00105563              2
    155            155       -118.553    0.000786541              1
    159            159       -118.555     0.00213628              1
    161            161       -118.555    0.000248951              1
    162            162       -118.556    0.000441856              2
    164            164       -118.557     0.00168595              1
    168            168       -118.558    0.000556478              2
    171            171       -118.563     0.00545439              2
    173            173       -118.566     0.00306674              1
    174            174        -118.57     0.00332884              1
    176            176       -118.572     0.00248109              1
    179            179       -118.575     0.00296244              2
    180            180       -118.582     0.00642943              2
    181            181       -118.583     0.00163854              1
    182            182       -118.588      0.0046837              1
    183            183       -118.591     0.00333423              2
    188            188       -118.596     0.00455686              1
    196            196       -118.598     0.00241136              4
    197            197       -118.599     0.00119497              1
    199            199       -118.601     0.00151082              1
    200            200       -118.603     0.00246867              2
    206            206       -118.604    0.000395386              1
    212            212       -118.609     0.00542025              4
    213            213        -118.61    0.000255407              2
    215            215        -118.61    0.000434436              1
    216            216       -118.611     0.00096936              1
    221            221       -118.614     0.00276493              2
    224            224       -118.615    0.000910341              1
    226            226       -118.617     0.00284044              1
    229            229       -118.619      0.0014102              1
    230            230        -118.62    0.000964967              1
    231            231       -118.622     0.00254406              3
    232            232       -118.623    0.000400935              2
    233            233       -118.623    0.000736255              1
    236            236        -118.63     0.00682433              4
    237            237       -118.631     0.00104958              1
    238            238       -118.632    0.000806669              2
    239            239       -118.636     0.00342796              2

   Gen:        Fevals:          Best:   Improvement:     Mutations:
    242            242       -118.638     0.00261229              2
    246            246       -118.641     0.00315042              2
    251            251       -118.644     0.00248171              4
    262            262       -118.652     0.00851751              1
    263            263       -118.654     0.00145729              1
    270            270       -118.655     0.00162306              1
    272            272       -118.657     0.00111965              3
    273            273       -118.664     0.00697628              1
    274            274       -118.664    0.000325761              1
    275            275       -118.667     0.00304446              2
    277            277       -118.668    0.000643611              2
    279            279       -118.669     0.00120328              1
    287            287       -118.674     0.00549242              1
    290            290       -118.676     0.00210996              1
    292            292       -118.678     0.00152226              1
    294            294       -118.682     0.00367996              1
    295            295       -118.686     0.00427741              3
    300            300       -118.688     0.00169682              1
    307            307       -118.691     0.00325097              2
    315            315       -118.691    0.000161135              1
    316            316       -118.694     0.00294193              2
    318            318       -118.702     0.00842233              2
    319            319       -118.707     0.00421625              1
    320            320       -118.711      0.0040628              1
    322            322       -118.713      0.0027544              1
    326            326       -118.715     0.00162019              2
    332            332       -118.718     0.00329029              3
    333            333       -118.723     0.00448037              3
    334            334       -118.724    0.000976904              1
    335            335        -118.73     0.00624205              1
    337            337       -118.734     0.00450871              1
    344            344       -118.737     0.00235319              1
    347            347       -118.737    0.000240406              2
    356            356        -118.74     0.00287065              1
    357            357       -118.748     0.00769687              2
    358            358       -118.752     0.00420102              3
    360            360       -118.753     0.00128115              1
    362            362       -118.754    0.000523596              1
    366            366       -118.754    0.000191976              1
    367            367       -118.759     0.00557691              1
    370            370       -118.763     0.00312283              1
    373            373       -118.766     0.00332207              1
    375            375        -118.77     0.00371336              1
    379            379        -118.77    0.000878048              1
    380            380       -118.775     0.00428804              2
    383            383       -118.777     0.00193343              1
    389            389       -118.777    0.000602954              1
    396            396       -118.778    0.000418485              1
    397            397       -118.778    9.80324e-05              1
    398            398       -118.778    0.000447468              1

   Gen:        Fevals:          Best:   Improvement:     Mutations:
    405            405       -118.779    0.000457615              1
    407            407       -118.781     0.00211571              1
    412            412       -118.786     0.00489866              1
    413            413       -118.787     0.00169912              3
    414            414        -118.79     0.00265967              1
    418            418       -118.791    0.000768182              3
    420            420       -118.797     0.00579448              2
    424            424       -118.803     0.00676888              1
    431            431       -118.805      0.0013692              3
    436            436       -118.808     0.00349469              1
    445            445       -118.809      0.0010606              1
    447            447       -118.815     0.00583557              1
    448            448       -118.816     0.00132743              1
    451            451       -118.819      0.0024237              1
    461            461        -118.82    0.000773912              1
    469            469       -118.824     0.00395989              1
    474            474       -118.827     0.00352074              1
    475            475       -118.827      0.0003329              2
    476            476       -118.831     0.00388637              1
    486            486       -118.833     0.00164714              2
    487            487       -118.835     0.00236778              1
    488            488       -118.839     0.00380136              1
    492            492       -118.843     0.00410629              1
    493            493       -118.847     0.00389686              2
    497            497        -118.85     0.00301541              2
    500            500       -118.853     0.00294908              1
    503            503       -118.855     0.00172233              1
    506            506       -118.855    0.000617935              1
    507            507       -118.858     0.00237416              2
    514            514       -118.858    0.000613267              2
    515            515       -118.864     0.00505802              3
    519            519       -118.865     0.00145803              3
    523            523       -118.866     0.00091709              3
    526            526        -118.87     0.00425653              4
    528            528       -118.871    0.000945113              1
    529            529       -118.873     0.00139365              2
    530            530       -118.877     0.00448121              1
    534            534       -118.879     0.00156401              3
    535            535       -118.881     0.00229261              1
    539            539       -118.882     0.00117976              1
    542            542       -118.882    0.000342094              2
    550            550       -118.884     0.00174805              1
    555            555       -118.887     0.00328741              1
    561            561       -118.888    0.000361683              1
    564            564       -118.892     0.00442682              1
    565            565       -118.895     0.00236218              2
    566            566       -118.898     0.00325333              1
    568            568       -118.903     0.00476167              2
    573            573       -118.905     0.00209659              1
    574            574       -118.907     0.00226337              1

   Gen:        Fevals:          Best:   Improvement:     Mutations:
    576            576       -118.913      0.0060194              3
    581            581       -118.914     0.00126023              1
    584            584       -118.915    0.000458957              2
    593            593       -118.923     0.00786487              3
    596            596       -118.929     0.00634717              1
    600            600       -118.937     0.00774743              1
    603            603       -118.942      0.0056954              1
    604            604       -118.945     0.00274368              1
    610            610       -118.946     0.00113905              1
    616            616       -118.951     0.00500451              1
    625            625       -118.953     0.00153293              3
    626            626       -118.957     0.00380125              1
    629            629       -118.957    0.000712839              1
    630            630       -118.959      0.0012993              2
    631            631       -118.959    0.000594162              1
    635            635        -118.96    0.000741281              2
    636            636       -118.963     0.00297083              1
    638            638       -118.971     0.00803901              3
    639            639       -118.974     0.00350093              1
    646            646       -118.975    0.000696325              1
    647            647       -118.976     0.00076422              1
    648            648       -118.978     0.00165747              3
    652            652       -118.979     0.00133513              1
    653            653       -118.979    0.000325163              1
    657            657       -118.983     0.00429534              1
    660            660       -118.992     0.00894138              1
    661            661       -118.996     0.00332547              2
    662            662       -119.008      0.0118983              1
    663            663       -119.008    7.72449e-06              1
    672            672       -119.009     0.00108493              1
    673            673       -119.012     0.00346691              2
    674            674       -119.013    0.000653345              3
    682            682       -119.015     0.00222744              3
    684            684       -119.029      0.0138841              3
    686            686       -119.031     0.00188153              2
    688            688       -119.034     0.00276422              1
    689            689       -119.035    0.000982106              2
    690            690       -119.036     0.00178465              2
    699            699       -119.037    0.000607389              1
    704            704       -119.038    0.000793766              1
    705            705       -119.042     0.00453119              2
    709            709       -119.045     0.00311966              2
    710            710       -119.045    3.31005e-05              3
    717            717       -119.052     0.00639711              3
    722            722       -119.054      0.0019301              2
    724            724       -119.054    0.000712183              1
    733            733       -119.055    0.000672715              2
    739            739        -119.06     0.00513874              3
    741            741       -119.061    0.000889113              1
    748            748       -119.067     0.00545177              1

   Gen:        Fevals:          Best:   Improvement:     Mutations:
    751            751       -119.073      0.0060638              3
    752            752       -119.077     0.00436898              1
    754            754       -119.078     0.00115247              2
    757            757       -119.081     0.00230719              1
    758            758       -119.089     0.00875538              1
    768            768        -119.09     0.00114075              1
    772            772       -119.102      0.0111151              3
    774            774       -119.102    0.000553107              1
    777            777       -119.104     0.00159934              2
    778            778       -119.116      0.0118587              1
    785            785       -119.119     0.00363768              1
    786            786        -119.12    0.000460667              3
    789            789       -119.127     0.00769027              2
